Date,Year,Month,Day,Site,Species,Flower
1/1/14,2014,1,1,1,ANOC,0.0
1/2/14,2014,1,2,1,ANOC,0.0
1/3/14,2014,1,3,1,ANOC,0.0
1/4/14,2014,1,4,1,ANOC,0.0
1/5/14,2014,1,5,1,ANOC,0.0
1/6/14,2014,1,6,1,ANOC,0.0
1/7/14,2014,1,7,1,ANOC,0.0
1/8/14,2014,1,8,1,ANOC,0.0
1/9/14,2014,1,9,1,ANOC,0.0
1/10/14,2014,1,10,1,ANOC,0.0
1/11/14,2014,1,11,1,ANOC,0.0
1/12/14,2014,1,12,1,ANOC,0.0
1/13/14,2014,1,13,1,ANOC,0.0
1/14/14,2014,1,14,1,ANOC,0.0
1/15/14,2014,1,15,1,ANOC,0.0
1/16/14,2014,1,16,1,ANOC,0.0
1/17/14,2014,1,17,1,ANOC,0.0
1/18/14,2014,1,18,1,ANOC,0.0
1/19/14,2014,1,19,1,ANOC,0.0
1/20/14,2014,1,20,1,ANOC,0.0
1/21/14,2014,1,21,1,ANOC,0.0
1/22/14,2014,1,22,1,ANOC,0.0
1/23/14,2014,1,23,1,ANOC,0.0
1/24/14,2014,1,24,1,ANOC,0.0
1/25/14,2014,1,25,1,ANOC,0.0
1/26/14,2014,1,26,1,ANOC,0.0
1/27/14,2014,1,27,1,ANOC,0.0
1/28/14,2014,1,28,1,ANOC,0.0
1/29/14,2014,1,29,1,ANOC,0.0
1/30/14,2014,1,30,1,ANOC,0.0
1/31/14,2014,1,31,1,ANOC,0.0
2/1/14,2014,2,1,1,ANOC,0.0
2/2/14,2014,2,2,1,ANOC,0.0
2/3/14,2014,2,3,1,ANOC,0.0
2/4/14,2014,2,4,1,ANOC,0.0
2/5/14,2014,2,5,1,ANOC,0.0
2/6/14,2014,2,6,1,ANOC,0.0
2/7/14,2014,2,7,1,ANOC,0.0
2/8/14,2014,2,8,1,ANOC,0.0
2/9/14,2014,2,9,1,ANOC,0.0
2/10/14,2014,2,10,1,ANOC,0.0
2/11/14,2014,2,11,1,ANOC,0.0
2/12/14,2014,2,12,1,ANOC,0.0
2/13/14,2014,2,13,1,ANOC,0.0
2/14/14,2014,2,14,1,ANOC,0.0
2/15/14,2014,2,15,1,ANOC,0.0
2/16/14,2014,2,16,1,ANOC,0.0
2/17/14,2014,2,17,1,ANOC,0.0
2/18/14,2014,2,18,1,ANOC,0.0
2/19/14,2014,2,19,1,ANOC,0.0
2/20/14,2014,2,20,1,ANOC,0.0
2/21/14,2014,2,21,1,ANOC,0.0
2/22/14,2014,2,22,1,ANOC,0.0
2/23/14,2014,2,23,1,ANOC,0.0
2/24/14,2014,2,24,1,ANOC,0.0
2/25/14,2014,2,25,1,ANOC,0.0
2/26/14,2014,2,26,1,ANOC,0.0
2/27/14,2014,2,27,1,ANOC,0.0
2/28/14,2014,2,28,1,ANOC,0.0
3/1/14,2014,3,1,1,ANOC,0.0
3/2/14,2014,3,2,1,ANOC,0.0
3/3/14,2014,3,3,1,ANOC,0.0
3/4/14,2014,3,4,1,ANOC,0.0
3/5/14,2014,3,5,1,ANOC,0.0
3/6/14,2014,3,6,1,ANOC,0.0
3/7/14,2014,3,7,1,ANOC,0.0
3/8/14,2014,3,8,1,ANOC,0.0
3/9/14,2014,3,9,1,ANOC,0.0
3/10/14,2014,3,10,1,ANOC,0.0
3/11/14,2014,3,11,1,ANOC,0.0
3/12/14,2014,3,12,1,ANOC,0.0
3/13/14,2014,3,13,1,ANOC,0.0
3/14/14,2014,3,14,1,ANOC,0.0
3/15/14,2014,3,15,1,ANOC,0.0
3/16/14,2014,3,16,1,ANOC,0.0
3/17/14,2014,3,17,1,ANOC,0.0
3/18/14,2014,3,18,1,ANOC,0.0
3/19/14,2014,3,19,1,ANOC,0.0
3/20/14,2014,3,20,1,ANOC,0.0
3/21/14,2014,3,21,1,ANOC,0.0
3/22/14,2014,3,22,1,ANOC,0.0
3/23/14,2014,3,23,1,ANOC,0.0
3/24/14,2014,3,24,1,ANOC,0.0
3/25/14,2014,3,25,1,ANOC,0.0
3/26/14,2014,3,26,1,ANOC,0.0
3/27/14,2014,3,27,1,ANOC,0.0
3/28/14,2014,3,28,1,ANOC,0.0
3/29/14,2014,3,29,1,ANOC,0.0
3/30/14,2014,3,30,1,ANOC,0.0
3/31/14,2014,3,31,1,ANOC,0.0
4/1/14,2014,4,1,1,ANOC,0.0
4/2/14,2014,4,2,1,ANOC,0.0
4/3/14,2014,4,3,1,ANOC,0.0
4/4/14,2014,4,4,1,ANOC,0.0
4/5/14,2014,4,5,1,ANOC,0.0
4/6/14,2014,4,6,1,ANOC,0.0
4/7/14,2014,4,7,1,ANOC,0.0
4/8/14,2014,4,8,1,ANOC,0.0
4/9/14,2014,4,9,1,ANOC,0.0
4/10/14,2014,4,10,1,ANOC,0.0
4/11/14,2014,4,11,1,ANOC,0.0
4/12/14,2014,4,12,1,ANOC,0.0
4/13/14,2014,4,13,1,ANOC,0.0
4/14/14,2014,4,14,1,ANOC,0.0
4/15/14,2014,4,15,1,ANOC,0.0
4/16/14,2014,4,16,1,ANOC,0.0
4/17/14,2014,4,17,1,ANOC,0.0
4/18/14,2014,4,18,1,ANOC,0.0
4/19/14,2014,4,19,1,ANOC,0.0
4/20/14,2014,4,20,1,ANOC,0.0
4/21/14,2014,4,21,1,ANOC,0.0
4/22/14,2014,4,22,1,ANOC,0.0
4/23/14,2014,4,23,1,ANOC,0.0
4/24/14,2014,4,24,1,ANOC,0.0
4/25/14,2014,4,25,1,ANOC,0.0
4/26/14,2014,4,26,1,ANOC,0.0
4/27/14,2014,4,27,1,ANOC,0.0
4/28/14,2014,4,28,1,ANOC,0.0
4/29/14,2014,4,29,1,ANOC,0.0
4/30/14,2014,4,30,1,ANOC,0.0
5/1/14,2014,5,1,1,ANOC,0.0
5/2/14,2014,5,2,1,ANOC,0.0
5/3/14,2014,5,3,1,ANOC,0.0
5/4/14,2014,5,4,1,ANOC,0.0
5/5/14,2014,5,5,1,ANOC,0.0
5/6/14,2014,5,6,1,ANOC,0.0
5/7/14,2014,5,7,1,ANOC,0.0
5/8/14,2014,5,8,1,ANOC,0.0
5/9/14,2014,5,9,1,ANOC,0.0
5/10/14,2014,5,10,1,ANOC,0.0
5/11/14,2014,5,11,1,ANOC,0.0
5/12/14,2014,5,12,1,ANOC,0.0
5/13/14,2014,5,13,1,ANOC,0.0
5/14/14,2014,5,14,1,ANOC,0.0
5/15/14,2014,5,15,1,ANOC,0.0
5/16/14,2014,5,16,1,ANOC,0.0
5/17/14,2014,5,17,1,ANOC,0.0
5/18/14,2014,5,18,1,ANOC,0.0
5/19/14,2014,5,19,1,ANOC,0.0
5/20/14,2014,5,20,1,ANOC,0.0
5/21/14,2014,5,21,1,ANOC,0.0
5/22/14,2014,5,22,1,ANOC,0.0
5/23/14,2014,5,23,1,ANOC,0.0
5/24/14,2014,5,24,1,ANOC,0.0
5/25/14,2014,5,25,1,ANOC,0.0
5/26/14,2014,5,26,1,ANOC,0.0
5/27/14,2014,5,27,1,ANOC,0.0
5/28/14,2014,5,28,1,ANOC,0.0
5/29/14,2014,5,29,1,ANOC,0.0
5/30/14,2014,5,30,1,ANOC,0.0
5/31/14,2014,5,31,1,ANOC,0.0
6/1/14,2014,6,1,1,ANOC,0.0
6/2/14,2014,6,2,1,ANOC,0.0
6/3/14,2014,6,3,1,ANOC,0.0
6/4/14,2014,6,4,1,ANOC,0.0
6/5/14,2014,6,5,1,ANOC,0.0
6/6/14,2014,6,6,1,ANOC,0.0
6/7/14,2014,6,7,1,ANOC,0.0
6/8/14,2014,6,8,1,ANOC,0.0
6/9/14,2014,6,9,1,ANOC,0.0
6/10/14,2014,6,10,1,ANOC,0.0
6/11/14,2014,6,11,1,ANOC,0.0
6/12/14,2014,6,12,1,ANOC,0.0
6/13/14,2014,6,13,1,ANOC,0.0
6/14/14,2014,6,14,1,ANOC,0.0
6/15/14,2014,6,15,1,ANOC,0.0
6/16/14,2014,6,16,1,ANOC,0.0
6/17/14,2014,6,17,1,ANOC,0.0
6/18/14,2014,6,18,1,ANOC,0.0
6/19/14,2014,6,19,1,ANOC,0.0
6/20/14,2014,6,20,1,ANOC,0.0
6/21/14,2014,6,21,1,ANOC,0.0
6/22/14,2014,6,22,1,ANOC,0.0
6/23/14,2014,6,23,1,ANOC,0.0
6/24/14,2014,6,24,1,ANOC,0.0
6/25/14,2014,6,25,1,ANOC,0.0
6/26/14,2014,6,26,1,ANOC,0.0
6/27/14,2014,6,27,1,ANOC,0.0
6/28/14,2014,6,28,1,ANOC,0.0
6/29/14,2014,6,29,1,ANOC,0.0
6/30/14,2014,6,30,1,ANOC,0.0
7/1/14,2014,7,1,1,ANOC,0.0
7/2/14,2014,7,2,1,ANOC,0.0
7/3/14,2014,7,3,1,ANOC,0.0
7/4/14,2014,7,4,1,ANOC,0.0
7/5/14,2014,7,5,1,ANOC,0.0
7/6/14,2014,7,6,1,ANOC,0.0
7/7/14,2014,7,7,1,ANOC,0.0
7/8/14,2014,7,8,1,ANOC,0.0
7/9/14,2014,7,9,1,ANOC,0.0
7/10/14,2014,7,10,1,ANOC,0.0
7/11/14,2014,7,11,1,ANOC,0.0
7/12/14,2014,7,12,1,ANOC,0.0
7/13/14,2014,7,13,1,ANOC,0.0
7/14/14,2014,7,14,1,ANOC,0.0
7/15/14,2014,7,15,1,ANOC,0.0
7/16/14,2014,7,16,1,ANOC,0.0
7/17/14,2014,7,17,1,ANOC,0.0
7/18/14,2014,7,18,1,ANOC,0.0
7/19/14,2014,7,19,1,ANOC,0.0
7/20/14,2014,7,20,1,ANOC,0.0
7/21/14,2014,7,21,1,ANOC,0.0
7/22/14,2014,7,22,1,ANOC,0.0
7/23/14,2014,7,23,1,ANOC,0.0
7/24/14,2014,7,24,1,ANOC,0.0
7/25/14,2014,7,25,1,ANOC,0.0
7/26/14,2014,7,26,1,ANOC,0.0
7/27/14,2014,7,27,1,ANOC,0.0
7/28/14,2014,7,28,1,ANOC,0.0
7/29/14,2014,7,29,1,ANOC,0.0
7/30/14,2014,7,30,1,ANOC,0.0
7/31/14,2014,7,31,1,ANOC,0.0
8/1/14,2014,8,1,1,ANOC,0.0
8/2/14,2014,8,2,1,ANOC,0.0
8/3/14,2014,8,3,1,ANOC,0.0
8/4/14,2014,8,4,1,ANOC,0.0
8/5/14,2014,8,5,1,ANOC,0.0
8/6/14,2014,8,6,1,ANOC,0.0
8/7/14,2014,8,7,1,ANOC,0.0
8/8/14,2014,8,8,1,ANOC,0.0
8/9/14,2014,8,9,1,ANOC,0.0
8/10/14,2014,8,10,1,ANOC,0.0
8/11/14,2014,8,11,1,ANOC,0.0
8/12/14,2014,8,12,1,ANOC,0.0
8/13/14,2014,8,13,1,ANOC,0.0
8/14/14,2014,8,14,1,ANOC,0.0
