,X,Year,Site,Elev,SnowmeltDate,JulDay,xcoor,ycoor,melt,Frozen
1,1,2013,1,1490,6/24/13,176,10,10,176,306
2,2,2013,2,1540,7/1/13,183,10,15,183,306
3,3,2013,3,1600,6/30/13,181,10,20,181,306
4,4,2013,4,1650,7/10/13,192,10,25,192,306
5,5,2013,5,1680,7/6/13,188,10,30,188,306
6,6,2013,6,1745,7/13/13,195,10,35,195,306
7,7,2013,7,1805,7/13/13,194,10,40,194,306
8,8,2013,8,1840,7/11/13,193,10,45,193,306
9,9,2013,9,1880,7/16/13,197,10,50,197,306
10,10,2014,1,1490,7/1/14,181,90,10,181,312
11,11,2014,2,1540,7/4/14,183,90,15,183,312
12,12,2014,3,1600,7/3/14,181,90,20,181,312
13,13,2014,4,1650,7/19/14,196,90,25,196,312
14,14,2014,5,1680,7/17/14,193,90,30,193,312
15,15,2014,6,1745,7/21/14,196,90,35,196,312
16,16,2014,7,1805,7/23/14,197,90,40,197,312
17,17,2014,8,1840,7/21/14,194,90,45,194,312
18,18,2014,9,1880,7/21/14,193,90,50,193,312
19,19,2015,1,1490,5/8/15,128,170,10,128,304
20,20,2015,2,1540,5/20/15,140,170,15,140,304
21,21,2015,3,1600,5/19/15,139,170,20,139,304
22,22,2015,4,1650,5/25/15,145,170,25,145,304
23,23,2015,5,1680,5/20/15,140,170,30,140,304
24,24,2015,6,1745,5/31/15,151,170,35,151,304
25,25,2015,7,1805,5/29/15,149,170,40,149,304
26,26,2015,8,1840,5/29/15,149,170,45,149,304
27,27,2015,9,1880,6/8/15,159,170,50,159,304
